,Nome,Data,EBITDA,LG,DE,GMV,ROA,ROE,FCLA,FCLF,g_FCLA_scaled,lag1,ma3,g_FCLF_scaled,lag_g_fclf,ma_g_fclf
0,3tentos,2022-01-01,0.23136451969836444,0.06944444444444445,0.004857840572126287,0.009618353978197327,0.3908872901678657,0.9536602100596401,0.1357346797361089,0.20853822537399572,0.097513240393994,0.097513240393994,0.037671169225087286,0.020479183182086524,0.020479183182086524,0.014287042147727766
1,3tentos,2022-07-01,0.23187060540972784,0.06481481481481481,0.0038810395953253096,0.010742229879992422,0.434052757793765,0.9557713622209322,0.14897060819101787,0.21280891789189704,0.097513240393994,0.097513240393994,0.037671169225087286,0.020479183182086524,0.020479183182086524,0.014287042147727766
2,3tentos,2022-10-01,0.23317409132751263,0.06481481481481481,0.003392639106924821,0.00911507943023576,0.45323741007194246,0.9565102654773844,0.13675308570686145,0.2132138422053191,-0.08201297311272615,0.097513240393994,0.037671169225087286,0.0019027600790102461,0.020479183182086524,0.014287042147727766
3,3tentos,2023-01-01,0.2319961040289362,0.06018518518518518,0.0038984824699110415,0.011974761043062858,0.4028776978417266,0.9542407769039954,0.14136204183568882,0.21203219695381298,0.033702757820814,-0.08201297311272615,0.037671169225087286,-0.005542066309035643,0.0019027600790102461,0.014287042147727766
4,3tentos,2023-04-01,0.231354719332013,0.06018518518518518,0.003976975405546834,0.012600691763164485,0.3932853717026379,0.9537129888636724,0.13552218099926375,0.2113247252703315,-0.0413113786458531,0.033702757820814,0.01640100836736062,-0.0033366238413102822,-0.005542066309035643,0.005613292317353709
5,3tentos,2023-07-01,0.2325093958920286,0.06481481481481481,0.0034711320425606135,0.012551630475986127,0.44364508393285373,0.9559824774370613,0.1478103391029435,0.21323727636372078,0.09067267079878616,-0.0413113786458531,-0.02987386464592175,0.009050294947468673,-0.0033366238413102822,-0.0023253100237785596
6,3tentos,2023-10-01,0.232211107701749,0.06481481481481481,0.003314146171289028,0.01180472550495396,0.42685851318944845,0.9550852377685123,0.14190270098598257,0.21084052660249952,-0.03996769206277595,0.09067267079878616,0.027688016657915687,-0.011239825428707384,0.009050294947468673,5.7201599040916186e-05
7,3tentos,2024-01-01,0.23279841371679358,0.06018518518518518,0.003575789290075004,0.01031343253631558,0.41486810551558756,0.9547157861402862,0.13770595198567942,0.2120870521935172,-0.029574835229652985,-0.03996769206277595,0.003131200030052369,0.005912172631629575,-0.011239825428707384,-0.0018420514408496642
8,3tentos,2024-04-01,0.2345814574093187,0.06018518518518518,0.004779347636490493,0.009674330049177348,0.40527577937649883,0.9544518921201246,0.14085421027558429,0.20781254662695375,0.02286218020723063,-0.029574835229652985,0.007043381168785741,-0.020154486199672417,0.005912172631629575,0.0012408807167969549
9,3tentos,2024-07-01,0.23425476303383636,0.06018518518518518,0.004378161521018664,0.011098879893846903,0.45323741007194246,0.956615823085449,0.14076897980395836,0.21257700456649148,-0.0006050970820054014,0.02286218020723063,-0.015560115695066101,0.022926709752950858,-0.020154486199672417,-0.008494046332250075
10,3tentos,2024-10-01,0.23426000725264304,0.06018518518518518,0.0044566544566544564,0.01347329375686071,0.40047961630695444,0.9541352192959308,0.14193438812778794,0.2147866028779058,0.00827887170492092,-0.0006050970820054014,-0.002439250701475918,0.01039434305662712,0.022926709752950858,0.002894798728302672
11,Aco Altona,2014-01-01,0.23093922657070862,0.023148148148148147,0.0049537763823478105,9.324027613845442e-05,0.3932853717026379,0.9546630073362539,0.14041171630263746,0.21253366648911448,4.410648889718871e-05,4.410648889718871e-05,9.667489243359029e-05,0.00016206474523272618,0.00016206474523272618,6.308344808162818e-05
12,Aco Altona,2014-04-01,0.23091719899206858,0.023148148148148147,0.004779347636490493,0.00010604769256175604,0.381294964028777,0.9537129888636724,0.1404179093704436,0.21256811070362744,4.410648889718871e-05,4.410648889718871e-05,9.667489243359029e-05,0.00016206474523272618,0.00016206474523272618,6.308344808162818e-05
13,Aco Altona,2014-07-01,0.23091106214027354,0.023148148148148147,0.0046223617652189075,8.763715454468337e-05,0.38369304556354916,0.9537657676677047,0.1404462473473748,0.21253943969834202,0.00020181169950639344,4.410648889718871e-05,9.667489243359029e-05,-0.00013487914622056785,0.00016206474523272618,6.308344808162818e-05
14,Aco Altona,2014-10-01,0.2308787413874864,0.023148148148148147,0.006026513169370312,8.27391006242234e-05,0.36211031175059955,0.9520768459386711,0.14026585439794428,0.21252838088201764,-0.0012844269806963071,0.00020181169950639344,9.667489243359029e-05,-5.2031831551224705e-05,-0.00013487914622056785,6.308344808162818e-05
15,Aco Altona,2015-04-01,0.23088291630635907,0.023148148148148147,0.006366649223792081,6.51458896586147e-05,0.3525179856115108,0.9512323850741543,0.14048487823187192,0.21260984944601571,0.0015614907481777962,-0.0012844269806963071,-0.0003461695974309083,0.0003833302811604433,-5.2031831551224705e-05,-8.282077513022124e-06
16,Aco Altona,2015-07-01,0.23093217848940464,0.023148148148148147,0.006244549101691958,6.48839511095913e-05,0.3788968824940048,0.9536602100596401,0.1403557765876052,0.2124866811477998,-0.0009189718202526898,0.0015614907481777962,0.0001596251556626275,-0.0005793160502057804,0.0003833302811604433,6.547310112955025e-05
17,Aco Altona,2015-10-01,0.23091419565399313,0.023148148148148147,0.006462585034013604,6.958111982704084e-05,0.38609112709832133,0.9541879980999631,0.14041799598677657,0.21252167147669915,0.00044329774437557035,-0.0009189718202526898,-0.00021396935092373356,0.00016467069234793463,-0.0005793160502057804,-8.267253353218725e-05
