,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
1331,Cemig,2022-07-01,0.38162565286296607,0.37929482422597915,0.0023308286369869147,0.014505661074984428,0.0023308286369869147,False,True
1332,Cemig,2022-10-01,0.39057383181901245,0.3792981245666098,0.011275707252402678,0.014296351790201113,0.011275707252402678,False,True
1333,Cemig,2023-01-01,0.3866584981117178,0.37976806428959575,0.006890433822122066,0.014215896173825028,0.006890433822122066,False,True
1334,Cemig,2023-04-01,0.3750648396099831,0.3798060768957029,0.00474123728571979,0.01407020927609359,0.00474123728571979,False,True
1335,Cemig,2023-07-01,0.384290003370969,0.37980330195795553,0.004486701413013494,0.013900618444716304,0.004486701413013494,False,True
1336,Cemig,2023-10-01,0.41392365022379424,0.3798675254903685,0.03405612473342573,0.013733992698295778,0.03405612473342573,True,False
1337,Cemig,2024-01-01,0.363960060233818,0.3834713113385498,0.019511251104731786,0.014500100140587094,0.019511251104731786,False,True
1338,Cemig,2024-04-01,0.40257311826726616,0.3828607600840514,0.019712358183214762,0.014618145380796805,0.019712358183214762,False,True
1339,Cemig,2024-07-01,0.4065986281592343,0.3816433814558155,0.02495524670341881,0.014656817929212048,0.02495524670341881,False,True
1340,Clearsale,2022-07-01,0.3765532476652462,0.3767358647804912,0.00018261711524497626,0.0029172461730559793,0.00018261711524497626,False,True
1341,Clearsale,2022-10-01,0.3765747381465009,0.37655324756221303,2.149058428785322e-05,0.0025280588074856037,2.149058428785322e-05,False,True
1342,Clearsale,2023-01-01,0.3766166960630559,0.37657473816495945,4.195789809646744e-05,0.002261184943978208,4.195789809646744e-05,False,True
1343,Clearsale,2023-04-01,0.3765752920248837,0.3766247174994398,4.942547455610846e-05,0.0022258979585282742,4.942547455610846e-05,False,True
1344,Clearsale,2023-07-01,0.37659125675474237,0.3765951056869936,3.84893225124916e-06,0.0021324707749185373,3.84893225124916e-06,False,True
1345,Clearsale,2023-10-01,0.37659956493048513,0.3765803227649225,1.924216556264957e-05,0.0019873885086079818,1.924216556264957e-05,False,True
1346,Clearsale,2024-01-01,0.37657223591945366,0.37659845233628,2.6216416826319033e-05,0.0018718581611181044,2.6216416826319033e-05,False,True
1347,Clearsale,2024-04-01,0.37658577010064404,0.3765844805906385,1.2895100055532183e-06,0.0017878036938265296,1.2895100055532183e-06,False,True
1348,Clearsale,2024-07-01,0.37656480743290716,0.37657763080411266,1.2823371205505918e-05,0.0017049953397598931,1.2823371205505918e-05,False,True
1349,Coelba,2015-01-01,0.3732854108199373,0.3764640211445593,0.0031786103246219666,0.0007430637313048239,0.0031786103246219666,True,False
1350,Coelba,2015-04-01,0.3798004346211992,0.37328541697591267,0.006515017645286558,0.0017146462400204586,0.006515017645286558,True,False
1351,Coelba,2015-07-01,0.37671266689626337,0.37980043821672926,0.003087771320465893,0.0032925860434652675,0.003087771320465893,False,True
1352,Coelba,2015-10-01,0.37801110769864105,0.37971789056024424,0.0017067828616031955,0.0022909178447754978,0.0017067828616031955,False,True
1353,Coelba,2016-01-01,0.37621198690303087,0.3770297077165028,0.0008177208134719227,0.0019610272991941492,0.0008177208134719227,False,True
1354,Coelba,2016-04-01,0.37608163651278903,0.3776483444014338,0.0015667078886447694,0.0018613519690945709,0.0015667078886447694,False,True
1355,Coelba,2016-07-01,0.37832085603898036,0.3767201766100406,0.0016006794289397663,0.0018424796532263224,0.0016006794289397663,False,True
1356,Coelba,2016-10-01,0.3784240859371113,0.37643809290013436,0.0019859930369769407,0.0017802471119981935,0.0019859930369769407,False,True
1357,Coelba,2017-01-01,0.3776593036985027,0.37750445157366985,0.00015485212483284938,0.0017981838655123776,0.00015485212483284938,False,True
1358,Coelba,2017-04-01,0.3751104596400812,0.3779532075844632,0.002842747944381996,0.0017296597075717292,0.002842747944381996,False,True
1359,Coelba,2017-07-01,0.37146932831337937,0.3774877706735539,0.006018442360174514,0.0018125127630019436,0.006018442360174514,True,False
1360,Coelba,2017-10-01,0.3762214614814858,0.3729136081343402,0.003307853347145562,0.0023347158215553704,0.003307853347145562,False,True
1361,Coelba,2018-01-01,0.36957723414404536,0.3740837592993353,0.004506525155289931,0.002310118250073407,0.004506525155289931,False,True
1362,Coelba,2018-04-01,0.3734355183779063,0.3744867816113328,0.0010512632334265248,0.002449900934960218,0.0010512632334265248,False,True
1363,Coelba,2018-07-01,0.3702052735842523,0.371049942212915,0.0008446686286626703,0.0023851888232504647,0.0008446686286626703,False,True
1364,Coelba,2018-10-01,0.37929879022795887,0.3724577552462657,0.006841034981693195,0.0023254097502677985,0.006841034981693195,True,False
1365,Coelba,2019-01-01,0.38049624922681835,0.37200253918921106,0.008493710037607294,0.0027152327986414812,0.008493710037607294,True,False
1366,Coelba,2019-04-01,0.37162988136602726,0.38247077026139825,0.010840888895370993,0.0030961972754748987,0.010840888895370993,True,False
1367,Coelba,2019-07-01,0.38488839402715275,0.37590747943604824,0.008980914591104505,0.0033127202327070783,0.008980914591104505,True,False
1368,Coelba,2019-10-01,0.37935483620408716,0.37510028325750255,0.004254552946584611,0.0036387128851117475,0.004254552946584611,False,True
1369,Coelba,2020-01-01,0.3765316529245313,0.380574553546495,0.004042900621963719,0.0036381490380420953,0.004042900621963719,False,True
1370,Coelba,2020-04-01,0.37942501585330257,0.3790836063571925,0.00034140949611005666,0.003631873368051285,0.00034140949611005666,False,True
1371,Coelba,2020-07-01,0.382674783230898,0.3782916887238928,0.004383094507005192,0.0035571952936523012,0.004383094507005192,False,True
1372,Coelba,2020-10-01,0.37930668136586043,0.37913949827290205,0.0001671830929583784,0.0035987676670298746,0.0001671830929583784,False,True
1373,Coelba,2021-01-01,0.3755001684702554,0.38000983715355446,0.004509668683299051,0.003532709181064279,0.004509668683299051,False,True
1374,Coelba,2021-04-01,0.3902660448597701,0.3790134965519427,0.011252548307827404,0.0035723966006409465,0.011252548307827404,True,False
1375,Coelba,2021-07-01,0.3843183032982246,0.3796726410321324,0.004645662266092199,0.0040606283830589415,0.004645662266092199,False,True
1376,Coelba,2021-10-01,0.3729721372065966,0.3821130433659523,0.0091409061593557,0.004120613497741166,0.0091409061593557,True,False
1377,Coelba,2022-01-01,0.3770451633475972,0.37965623115297964,0.00261106780538245,0.00435564029827457,0.00261106780538245,False,True
1378,Coelba,2022-04-01,0.38230544409278017,0.3780888274531378,0.0042166166396423455,0.004523460650289829,0.0042166166396423455,False,True
1379,Coelba,2022-07-01,0.38277695750199336,0.37898700767386584,0.0037899498281275257,0.0043113885313462745,0.0037899498281275257,False,True
1380,Coelba,2022-10-01,0.3893900047445874,0.38034154236153395,0.009048462383053457,0.004255655380372612,0.009048462383053457,True,False
1381,Coelba,2023-01-01,0.38629910271962625,0.3828893323962025,0.0034097703234237664,0.004477702918770552,0.0034097703234237664,False,True
1382,Coelba,2023-04-01,0.383619764914205,0.3840631182831794,0.00044335336897438626,0.0044593621882551395,0.00044335336897438626,False,True
1383,Coelba,2023-07-01,0.38418641508094326,0.3836693570099172,0.0005170580710260331,0.004398425074562714,0.0005170580710260331,False,True
1384,Coelba,2023-10-01,0.3776219788117148,0.38373155217184113,0.0061095733601263524,0.004339660166252218,0.0061095733601263524,False,True
1385,Coelba,2024-01-01,0.3826350343116581,0.3817418767838659,0.0008931575277921766,0.004426066642525372,0.0008931575277921766,False,True
1386,Coelba,2024-04-01,0.3810014188930601,0.3823255929068191,0.0013241740137590052,0.004372247069839614,0.0013241740137590052,False,True
1387,Coelba,2024-07-01,0.3870876952124812,0.38184189354863685,0.005245801663844363,0.004320080596725823,0.005245801663844363,False,True
1388,Coelba,2024-10-01,0.3753274887391312,0.38372133589492075,0.008393847155789558,0.004319179673092517,0.008393847155789558,False,True
1389,Coelce,2015-01-01,0.3756810781825272,0.375831140418024,0.0001500622354967951,0.001055778699828386,0.0001500622354967951,False,True
1390,Coelce,2015-04-01,0.37776095015608036,0.37565853934844334,0.002102410807637012,0.0009295210188262423,0.002102410807637012,True,False
1391,Coelce,2015-07-01,0.37652597730016113,0.3777609516505106,0.0012349743503494715,0.0012403557370185554,0.0012349743503494715,False,True
1392,Coelce,2015-10-01,0.3780050411012948,0.3764528645287506,0.001552176572544195,0.0012643306416941138,0.001552176572544195,False,True
1393,Coelce,2016-01-01,0.37661356827924686,0.3769190029881712,0.000305434708924357,0.001077956948100628,0.000305434708924357,False,True
1394,Coelce,2016-04-01,0.3759083833546331,0.37744331431776296,0.0015349309631298436,0.0010362933918132869,0.0015349309631298436,False,True
1395,Coelce,2016-07-01,0.3767022083691519,0.37666331514903434,3.889322011757512e-05,0.0010061061565169898,3.889322011757512e-05,False,True
1396,Coelce,2016-10-01,0.37799305126336014,0.37663287710562676,0.0013601741577333737,0.0009524410584478795,0.0013601741577333737,False,True
1397,Coelce,2017-01-01,0.37708071582355995,0.3785025062465827,0.0014217904230227618,0.0014341428998062324,0.0014217904230227618,False,True
1398,Coelce,2017-04-01,0.37749482788366095,0.3767019830842689,0.0007928447993920673,0.0014485921351916336,0.0007928447993920673,False,True
1399,Coelce,2017-07-01,0.37684628191085595,0.3770211425246699,0.00017486061381394302,0.0009277897573515707,0.00017486061381394302,False,True
1400,Coelce,2017-10-01,0.3755116565595374,0.3769148036650618,0.001403147105524416,0.0008930273403591807,0.001403147105524416,False,True
1401,Coelce,2018-01-01,0.376476551799762,0.37640787971574824,6.867208401378777e-05,0.0009513916972761064,6.867208401378777e-05,False,True
