,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-12-31,0.4213608951216244,0.4193827394427103,0.001978155678914073,0.0023066912074367085,0.001978155678914073,False,True
1,3tentos,2023-03-31,0.42049338135075853,0.4197783705784931,0.0007150107722654342,0.0022096957807752325,0.0007150107722654342,False,True
2,3tentos,2023-06-30,0.42102719805476413,0.41989753904053734,0.0011296590142267915,0.002034691249643664,0.0011296590142267915,False,True
3,3tentos,2023-09-30,0.4219035480016422,0.42005891889971264,0.0018446291019295624,0.0019247870444007492,0.0018446291019295624,False,True
4,3tentos,2023-12-31,0.42111684773020597,0.4202894975374538,0.000827350192752152,0.001901018168714981,0.000827350192752152,False,True
5,3tentos,2024-03-31,0.4208400008110504,0.4203814253366485,0.00045857547440186774,0.0018110590051538514,0.00045857547440186774,False,True
6,3tentos,2024-06-30,0.4189879876904048,0.4204272828840887,0.0014392951936839093,0.0017236204570754649,0.0014392951936839093,False,True
7,3tentos,2024-09-30,0.42097597867608805,0.4202964378664811,0.000679540809606971,0.001694695490214627,0.000679540809606971,False,True
8,3tentos,2024-12-31,0.42248265257273304,0.42035306626728164,0.002129586305451403,0.0016333813407745676,0.002129586305451403,False,True
9,521 Particip,2011-06-30,0.4346391550592884,0.4212375410070377,0.01340161405225071,0.0005976259274415734,0.01340161405225071,True,False
10,521 Particip,2011-09-30,0.42113259628113814,0.4239178638174878,0.002785267536349667,0.005387229981372399,0.002785267536349667,False,True
11,521 Particip,2011-12-31,0.4211391348340018,0.4234536525614296,0.0023145177274278006,0.005026197984370238,0.0023145177274278006,False,True
12,521 Particip,2012-03-31,0.42113274374428444,0.423123007171797,0.001990263427512573,0.004723311561716378,0.001990263427512573,False,True
13,521 Particip,2012-06-30,0.4213974773572146,0.42287422424335797,0.0014767468861433541,0.004467013959435565,0.0014767468861433541,False,True
14,521 Particip,2012-09-30,0.4211337720776193,0.4227101412560087,0.0015763691783893807,0.004237034891360212,0.0015763691783893807,False,True
15,521 Particip,2012-12-31,0.4211376383662211,0.42255250433816977,0.0014148659719486756,0.004047327857282543,0.0014148659719486756,False,True
16,521 Particip,2013-03-31,0.4211339807100421,0.4224238801589017,0.0012898994488595994,0.0038803524627575568,0.0012898994488595994,False,True
17,521 Particip,2013-06-30,0.4211460194951147,0.4223163885381634,0.0011703690430486802,0.0037322209071067405,0.0011703690430486802,False,True
18,521 Particip,2013-09-30,0.42113377908001404,0.4222263601502366,0.0010925810702225869,0.003599338315815171,0.0010925810702225869,False,True
19,521 Particip,2013-12-31,0.42113710885600325,0.42214831864522073,0.001011209789217482,0.003479804374386317,0.001011209789217482,False,True
20,521 Particip,2014-03-31,0.4211347837283339,0.4220809046592729,0.0009461209309389873,0.003371260044664434,0.0009461209309389873,False,True
21,521 Particip,2014-06-30,0.4213055008773885,0.42202177210108915,0.0007162712237006597,0.003272232729691474,0.0007162712237006597,False,True
22,521 Particip,2014-09-30,0.4211353238448844,0.421979638499695,0.0008443146548106073,0.003179002599557603,0.0008443146548106073,False,True
23,521 Particip,2014-12-31,0.42113565759486105,0.42193273212998333,0.0007970745351222885,0.0030954827435122154,0.0007970745351222885,False,True
