,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
3223,Cyrela Realt,2011-09-30,0.6417647098532919,0.64019847,0.0015662406913046212,0.0012590415382420271,0.0015662406913046212,False,True
3224,Cyrela Realt,2011-12-31,0.6411802731773151,0.6404222,0.0007580481788409532,0.0012880688337172984,0.0007580481788409532,False,True
3225,Cyrela Realt,2012-03-31,0.6431358786076944,0.64051694,0.002618941828672172,0.001230685572102458,0.002618941828672172,True,False
3226,Cyrela Realt,2012-06-30,0.6390810384995842,0.6408079,0.0017268881552314763,0.001422570883812469,0.0017268881552314763,False,True
3227,Cyrela Realt,2012-09-30,0.6406794483890211,0.64063525,4.419639011976617e-05,0.0014455919874363742,4.419639011976617e-05,False,True
3228,Cyrela Realt,2012-12-31,0.6402620781192031,0.6406393,0.00037722699554298966,0.0013783764292681655,0.00037722699554298966,False,True
3229,Cyrela Realt,2013-03-31,0.637962246541155,0.64060783,0.0026455873211497227,0.0013238062948376147,0.0026455873211497227,False,True
3230,Cyrela Realt,2013-06-30,0.6434801535940825,0.64040434,0.0030758099890410007,0.0014541803616603141,0.0030758099890410007,True,False
3231,Cyrela Realt,2013-09-30,0.6435559567131793,0.64062405,0.0029319103874957397,0.00160968576504052,0.0029319103874957397,False,True
3232,Cyrela Realt,2013-12-31,0.6432125336911192,0.6408195,0.002393043735217093,0.0017184940073518087,0.002393043735217093,False,True
3233,Cyrela Realt,2014-03-31,0.6400105804201797,0.64096904,0.0009584575894638903,0.0017618711515928463,0.0009584575894638903,False,True
3234,Cyrela Realt,2014-06-30,0.6426046218706645,0.6409127,0.0016919102503336614,0.001724080044073654,0.0016919102503336614,False,True
3235,Cyrela Realt,2014-09-30,0.6420057723459281,0.6410067,0.000999064200786548,0.001719743439110668,0.000999064200786548,False,True
3236,Cyrela Realt,2014-12-31,0.6396254057195219,0.6410593,0.0014338737223116294,0.0016886770107552437,0.0014338737223116294,False,True
3237,Cyrela Realt,2015-03-31,0.6374410451538054,0.6409876,0.0035465299003633044,0.0016753225592067813,0.0035465299003633044,True,False
3238,Cyrela Realt,2015-06-30,0.6382283361642426,0.6408187,0.0025903789312774483,0.0018009652504328995,0.0025903789312774483,False,True
3239,Cyrela Realt,2015-09-30,0.6408767079768432,0.64070094,0.00017577165939930417,0.0018404286506612311,0.00017577165939930417,False,True
