,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-10-01,0.3770321700123571,0.3735869804400303,0.0034451895723268122,0.0029025225798429586,0.0034451895723268122,False,True
1,3tentos,2023-01-01,0.37624260660327813,0.3742772536553345,0.001965352947943644,0.0028611799770560517,0.001965352947943644,False,True
2,3tentos,2023-04-01,0.37576988117783894,0.37454724087662883,0.0012226403012101095,0.002686043466627529,0.0012226403012101095,False,True
3,3tentos,2023-07-01,0.37704782848005114,0.3747546047254957,0.002293223754555429,0.0025002131373517114,0.002293223754555429,False,True
4,3tentos,2023-10-01,0.3754463445238748,0.37503048057902993,0.0004158639448448853,0.0024340008020953706,0.0004158639448448853,False,True
5,3tentos,2024-01-01,0.37627926031979037,0.37541971646464073,0.0008595438551496359,0.0022895643260153883,0.0008595438551496359,False,True
6,3tentos,2024-04-01,0.3734230789210491,0.37554367698563385,0.0021205980645847555,0.002194737435420088,0.0021205980645847555,False,True
7,3tentos,2024-07-01,0.3766066415413531,0.37533685785361304,0.001269783687740056,0.0021655132518181423,0.001269783687740056,False,True
8,3tentos,2024-10-01,0.37808307279111414,0.37549433728932236,0.0025887355017917835,0.001979132894483328,0.0025887355017917835,False,True
9,Aco Altona,2015-01-01,0.37656276134099875,0.3765825908387264,1.9829497727663625e-05,1.0299272015283354e-05,1.9829497727663625e-05,False,True
10,Aco Altona,2015-04-01,0.3766285881577466,0.37657877142372265,4.981673402393305e-05,1.2388115686849075e-05,4.981673402393305e-05,True,False
11,Aco Altona,2015-07-01,0.37654628834627113,0.3765865592144342,4.0270868163050366e-05,2.1566194830082826e-05,4.0270868163050366e-05,False,True
12,Aco Altona,2015-10-01,0.3765696685302437,0.3765819330422089,1.2264511965176528e-05,2.4627835837696954e-05,1.2264511965176528e-05,False,True
13,Aco Altona,2016-01-01,0.37664343209840695,0.3765808036578111,6.26284405958466e-05,2.3384087105925187e-05,6.26284405958466e-05,True,False
14,Aco Altona,2016-04-01,0.37660618540621427,0.3765899273983553,1.625800785898246e-05,2.980553579512524e-05,1.625800785898246e-05,False,True
15,Aco Altona,2016-07-01,0.37658934098715935,0.3765911817748139,1.8407876545278867e-06,2.8803033364854206e-05,1.8407876545278867e-06,False,True
