,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-10-01,0.8065095156750838,0.8064673207131458,4.219496193802463e-05,5.734533403791847e-05,4.219496193802463e-05,False,True
1,3tentos,2023-01-01,0.8064104015262411,0.8064857440118379,7.534248559681878e-05,5.534949869724771e-05,7.534248559681878e-05,False,True
2,3tentos,2023-04-01,0.8065076501370825,0.8064793887733195,2.8261363762993597e-05,5.739455446130203e-05,2.8261363762993597e-05,False,True
3,3tentos,2023-07-01,0.8064151989103832,0.8064789223888191,6.372347843597304e-05,5.3181055277591374e-05,6.372347843597304e-05,False,True
4,3tentos,2023-10-01,0.8063588397433143,0.8064410750193103,8.223527599593439e-05,5.1436418253671084e-05,8.223527599593439e-05,False,True
5,3tentos,2024-01-01,0.8064413262686586,0.8064274516120434,1.3874656615175951e-05,5.05830070163273e-05,1.3874656615175951e-05,False,True
6,3tentos,2024-04-01,0.8067597235750047,0.8064480732433795,0.0003116503316251684,4.68436083035541e-05,0.0003116503316251684,True,False
7,3tentos,2024-07-01,0.8064328940793597,0.8065297753767466,9.688129738694151e-05,8.516834958710584e-05,9.688129738694151e-05,False,True
8,3tentos,2024-10-01,0.8080394369665296,0.8064415361632666,0.0015979008032629416,8.367087889034915e-05,0.0015979008032629416,True,False
9,Aco Altona,2015-01-01,0.8065635140087118,0.7518882387377341,0.05467527527097771,0.05453333405434858,0.05467527527097771,False,True
10,Aco Altona,2015-04-01,0.8063278548651259,0.7791903907464959,0.02713746411863005,0.0456363777370449,0.02713746411863005,False,True
11,Aco Altona,2015-07-01,0.8064141189958841,0.8064336279693611,1.950897347702263e-05,0.03856490650321324,1.950897347702263e-05,False,True
12,Aco Altona,2015-10-01,0.8064410687628132,0.8064275707029915,1.3498059821648312e-05,0.03570416605433284,1.3498059821648312e-05,False,True
13,Aco Altona,2016-01-01,0.8061799968863718,0.8064366391581337,0.0002566422717619199,0.03339818435962552,0.0002566422717619199,False,True
14,Aco Altona,2016-04-01,0.8064465673201675,0.8063407598775487,0.00010580744261878827,0.03148818957618558,0.00010580744261878827,False,True
15,Aco Altona,2016-07-01,0.806445808321504,0.8064074024859976,3.840583550640542e-05,0.029872324377045286,3.840583550640542e-05,False,True
16,Aco Altona,2016-10-01,0.8066574354660379,0.8064072127363318,0.0002502227297060955,0.028482117344738947,0.0002502227297060955,False,True
17,Aco Altona,2017-01-01,0.8064399580345345,0.8064072127363318,3.274529820274097e-05,0.02726955966734343,3.274529820274097e-05,False,True
18,Aco Altona,2017-07-01,0.8064547767756635,0.8064057501645894,4.902661107408779e-05,0.026199747188898295,4.902661107408779e-05,False,True
19,Aco Altona,2017-10-01,0.807312611452878,0.8064918500000996,0.000820761452778429,0.025246704560652627,0.000820761452778429,False,True
20,Aco Altona,2018-01-01,0.8064332712832611,0.8066338002820505,0.00020052899878930663,0.024391119500532646,0.00020052899878930663,False,True
21,Aco Altona,2018-07-01,0.799927440639169,0.8063388105076607,0.006411369868491668,0.023616653379917325,0.006411369868491668,False,True
22,Aco Altona,2018-10-01,0.8063930891949235,0.8066535916329357,0.0002605024380122334,0.02294095015551143,0.0002605024380122334,False,True
23,Aco Altona,2019-01-01,0.8064300842870575,0.8066595645944526,0.0002294803073951135,0.022294682543032802,0.0002294803073951135,False,True
24,Aco Altona,2019-04-01,0.8064049308310901,0.8066554438361753,0.0002505130050851623,0.021700115166213726,0.0002505130050851623,False,True
25,Aco Altona,2019-07-01,0.8063423832445751,0.8066452244635718,0.0003028412189967078,0.02115072183448327,0.0003028412189967078,False,True
26,Aco Altona,2019-10-01,0.8063288982608361,0.8064026674114959,7.376915065981926e-05,0.02064099825025692,7.376915065981926e-05,False,True
27,Aco Altona,2020-01-01,0.8064442879186151,0.8063765741558897,6.771376272540763e-05,0.020166684326819045,6.771376272540763e-05,False,True
28,Aco Altona,2020-04-01,0.8064465435695316,0.8063801250637791,6.641850575250796e-05,0.019723412014038388,6.641850575250796e-05,False,True
29,Aco Altona,2020-07-01,0.8063148457571093,0.8063905282483894,7.568249128009352e-05,0.019308139529327653,7.568249128009352e-05,False,True
