Nome,Data,FCLA
Agribrasil,2021-10-01,-128716.0
Agribrasil,2022-01-01,25986.0
Agribrasil,2022-04-01,-268183.0
Agribrasil,2022-07-01,38505.0
Agribrasil,2022-10-01,142769.0
Agribrasil,2023-01-01,-65288.0
Agribrasil,2023-04-01,50720.0
Agribrasil,2023-07-01,257912.0
Agribrasil,2023-10-01,-86602.0
Agribrasil,2024-01-01,85419.0
Agribrasil,2024-04-01,-79423.0
Agribrasil,2024-07-01,-72274.0
Agrogalaxy,2020-01-01,-16054.0
Agrogalaxy,2020-04-01,-55857.0
Agrogalaxy,2020-07-01,-28220.0
Agrogalaxy,2020-10-01,158580.0
Agrogalaxy,2021-01-01,-97953.0
Agrogalaxy,2021-04-01,143424.0
Agrogalaxy,2021-07-01,-156089.0
Agrogalaxy,2021-10-01,65983.0
Agrogalaxy,2022-01-01,-266064.0
Agrogalaxy,2022-04-01,-22389.0
Agrogalaxy,2022-07-01,-229976.0
Agrogalaxy,2022-10-01,235611.0
Agrogalaxy,2023-01-01,-302340.0
Agrogalaxy,2023-04-01,-99650.0
Agrogalaxy,2023-07-01,298393.0
Agrogalaxy,2023-10-01,23397.0
Agrogalaxy,2024-01-01,-459168.0
Agrogalaxy,2024-04-01,278944.0
Agrogalaxy,2024-07-01,-197244.0
Alfa Holding,2014-01-01,-2982.0
Alfa Holding,2014-04-01,26.0
Alfa Holding,2014-07-01,-562.0
Alfa Holding,2014-10-01,8502.0
Alfa Holding,2015-01-01,-3259.0
Alfa Holding,2015-04-01,1732.0
Alfa Holding,2015-07-01,-225.0
Alfa Holding,2015-10-01,10657.0
Alfa Holding,2016-01-01,-3479.0
Alfa Holding,2016-04-01,3984.0
Alfa Holding,2016-07-01,337.0
Alfa Holding,2016-10-01,19.0
Alfa Holding,2017-01-01,8375.0
Alfa Holding,2017-04-01,-1187.0
Alfa Holding,2017-07-01,-586.0
Alfa Holding,2017-10-01,14357.0
Alfa Holding,2018-01-01,-378.0
Alfa Holding,2018-04-01,-396.0
Alfa Holding,2018-07-01,-278.0
Alfa Holding,2018-10-01,-503.0
Alfa Holding,2019-01-01,-445.0
Alfa Holding,2019-04-01,-701.0
Alfa Holding,2019-07-01,-756.0
Alfa Holding,2019-10-01,-297.0
Alfa Holding,2020-01-01,10579.0
Alfa Holding,2020-04-01,-1301.0
Alfa Holding,2020-07-01,-866.0
Alfa Holding,2020-10-01,14686.0
Alfa Holding,2021-01-01,-961.0
Alfa Holding,2021-04-01,157.0
Alfa Holding,2021-07-01,-1506.0
Alfa Holding,2021-10-01,57615.0
Alfa Holding,2022-01-01,884.0
Alfa Holding,2022-04-01,182.0
Alfa Holding,2022-07-01,1107.0
Alfa Holding,2022-10-01,1129.0
Alfa Holding,2023-01-01,-808.0
