,Nome,Data,EBITDA,LG,DE,GMV,ROA,ROE,FCLA,FCLF,g_FCLA_scaled,lag1,ma3,g_FCLF_scaled,lag_g_fclf,ma_g_fclf
0,3tentos,2021-07-01,0.21823862899042226,0.023633677991137372,0.20312032921779,0.008220822560348716,0.6038961038961038,0.6037010188876807,0.36155188696215285,0.36935751384767634,-0.007618936741496052,-0.007618936741496052,-0.006759105115059357,0.017874269487650807,0.017874269487650807,0.010097243121476085
1,3tentos,2021-10-01,0.2179910414083849,0.025110782865583454,0.20308230107792924,0.008420022585234214,0.6125541125541125,0.603771495308284,0.35879724600661966,0.3759595095874784,-0.007618936741496052,-0.007618936741496052,-0.006759105115059357,0.017874269487650807,0.017874269487650807,0.010097243121476085
2,3tentos,2022-01-01,0.21779103126506263,0.022156573116691284,0.20317809348086965,0.008560209469096677,0.5979437229437229,0.6036456445572067,0.35698910814505685,0.37390797012226223,-0.005039441862185967,-0.007618936741496052,-0.006759105115059357,-0.005456809610873359,0.017874269487650807,0.010097243121476085
3,3tentos,2022-07-01,0.21816654530717178,0.020679468242245196,0.203124180168662,0.00956044434904014,0.6076839826839826,0.6037463251580685,0.3652354925169089,0.37676160368044237,0.023099820649153502,-0.005039441862185967,-0.006759105115059357,0.007631914230785242,-0.005456809610873359,0.010097243121476085
4,3tentos,2022-10-01,0.21913372785121374,0.020679468242245196,0.20309722351255816,0.00811230169186353,0.612012987012987,0.6037815633683702,0.3576236059145201,0.3770321700123571,-0.020841037517832173,0.023099820649153502,0.0034804806818238276,0.000718136692464677,0.007631914230785242,0.006683124702520897
5,3tentos,2023-01-01,0.2182596648968379,0.019202363367799114,0.20312514290637998,0.010657380992980303,0.6006493506493507,0.6036733317224438,0.3604951251978702,0.37624260660327813,0.008029445584295303,-0.020841037517832173,-0.000926886243621546,-0.0020941539525741737,0.000718136692464677,0.0009644137707921866
6,3tentos,2023-04-01,0.21778375942335645,0.019202363367799114,0.20312947522611094,0.011214451162092198,0.5984848484848484,0.6036481615722282,0.3568567149949633,0.37576988117783894,-0.010092813878994411,0.008029445584295303,0.0034294095718722106,-0.0012564377801519422,-0.0020941539525741737,0.0020852989902252483
7,3tentos,2023-07-01,0.21864052588137808,0.020679468242245196,0.20310155583228912,0.011170787257018392,0.6098484848484849,0.6037563932181547,0.3645126097280184,0.37704782848005114,0.021453693909509797,-0.010092813878994411,-0.007634801937510427,0.003400877415205672,-0.0012564377801519422,-0.0008774850134204796
8,3tentos,2023-10-01,0.21841919696113735,0.020679468242245196,0.2030928911928272,0.010506051583946062,0.6060606060606061,0.6037136039627884,0.3608319722262196,0.3754463445238748,-0.01009742160784266,0.021453693909509797,0.006463441871603563,-0.0042474291991873026,0.003400877415205672,1.6761894159852037e-05
9,3tentos,2024-01-01,0.21885497621890435,0.019202363367799114,0.2031073322585971,0.009178820311290393,0.6033549783549783,0.6036959848576376,0.3582172704705713,0.37627926031979037,-0.00724631395470976,-0.01009742160784266,0.00042115280755757506,0.0022184682526922295,-0.0042474291991873026,-0.0007009965213778576
10,3tentos,2024-04-01,0.22017798915762882,0.019202363367799114,0.20317376116113867,0.008610027441478664,0.6011904761904762,0.6036833997825299,0.3601787307526263,0.3734230789210491,0.005475616179751341,-0.00724631395470976,0.0013699861156524589,-0.007590589490140576,0.0022184682526922295,0.0004573054895701996
11,3tentos,2024-07-01,0.21993558293528911,0.019202363367799114,0.20315161819362482,0.00987785820516054,0.612012987012987,0.6037865973984132,0.36012562958699096,0.3766066415413531,-0.00014743004264683446,0.005475616179751341,-0.003956039794267026,0.008525350467096127,-0.007590589490140576,-0.003206516812211883
12,3tentos,2024-10-01,0.21993947412952275,0.019202363367799114,0.20315595051335578,0.011991055544310104,0.600108225108225,0.6036682976924006,0.36085171427543533,0.37808307279111414,0.0020161983174513676,-0.00014743004264683446,-0.000639375939201751,0.0039203537242955555,0.008525350467096127,0.0010510764098825935
13,Aco Altona,2014-01-01,0.2174754650717057,0.007385524372230428,0.2031833885383186,8.298262847373152e-05,0.5984848484848484,0.603693467842616,0.35990304360339614,0.37657768347625437,1.0720856389090372e-05,1.0720856389090372e-05,2.3499075567201544e-05,6.11169404651779e-05,6.11169404651779e-05,2.3787961828188504e-05
14,Aco Altona,2014-04-01,0.2174591206760682,0.007385524372230428,0.20317376116113867,9.438106188447178e-05,0.5957792207792207,0.6036481615722282,0.35990690207224063,0.37660069875211594,1.0720856389090372e-05,1.0720856389090372e-05,2.3499075567201544e-05,6.11169404651779e-05,6.11169404651779e-05,2.3787961828188504e-05
15,Aco Altona,2014-07-01,0.21745456715090117,0.007385524372230428,0.20316509652167672,7.799592340629248e-05,0.5963203463203463,0.6036506785872497,0.35992455749028635,0.37658154107628555,4.905551392342389e-05,1.0720856389090372e-05,2.3499075567201544e-05,-5.0869995445790295e-05,6.11169404651779e-05,2.3787961828188504e-05
16,Aco Altona,2014-10-01,0.21743058525168804,0.007385524372230428,0.20324259690797525,7.363671936315686e-05,0.5914502164502164,0.6035701341065604,0.3598121672183048,0.3765741516870367,-0.00031226063807721083,4.905551392342389e-05,2.3499075567201544e-05,-1.9622282143139103e-05,-5.0869995445790295e-05,2.3787961828188504e-05
17,Aco Altona,2015-01-01,0.21742555567616262,0.007385524372230428,0.20332346687628672,5.4075514248000574e-05,0.5865800865800865,0.6034870726108493,0.3597811735501511,0.37656276134099875,-8.613846605931563e-05,-0.00031226063807721083,-8.416142258823218e-05,-3.0247285924711598e-05,-1.9622282143139103e-05,-3.1251123745838307e-06
